buildingID:ID,buildingType,yearBuilt:int,addressStreet,:LABEL
B001,Residential,1978,Sonnenweg 12,Building
B002,Office,2012,Industriestrasse 5,Building
B003,Mixed,1995,Altstadtgasse 7,Building
B004,Residential,1965,Kellerweg 1,Building
B005,Mixed,1950,Strasse C-5,Building
B006,School,2015,Strasse B-6,Building
B007,Commercial,1933,Strasse A-7,Building
B008,School,1975,Schulhausstrasse 1,Building
B009,School,2009,Strasse C-9,Building
B010,Public,1959,Strasse B-10,Building
B011,Office,1993,Strasse B-11,Building
B012,Residential,1986,Strasse C-12,Building
B013,Mixed,1946,Strasse C-13,Building
B014,Industrial,1994,Strasse C-14,Building
B015,Mixed,1999,Strasse C-15,Building
B016,Mixed,1963,Strasse A-16,Building
B017,Industrial,1933,Strasse C-17,Building
B018,School,1975,Strasse C-18,Building
B019,Commercial,1981,Strasse A-19,Building
B020,Residential,1922,Strasse C-20,Building
B021,Public,1982,Strasse C-21,Building
B022,Residential,2011,Strasse A-22,Building
B023,Industrial,1967,Strasse A-23,Building
B024,Commercial,1997,Strasse A-24,Building
B025,Commercial,1957,Strasse A-25,Building
B026,Public,1935,Strasse C-26,Building
B027,School,1936,Strasse C-27,Building
B028,Public,1900,Strasse B-28,Building
B029,Office,1982,Strasse A-29,Building
B030,Mixed,1937,Strasse B-30,Building
B031,Commercial,2014,Strasse B-31,Building
B032,Office,2016,Strasse B-32,Building
B033,School,1973,Strasse A-33,Building
B034,Office,2000,Strasse B-34,Building
B035,Public,1994,Strasse B-35,Building
B036,Mixed,2020,Strasse B-36,Building
B037,Residential,1927,Strasse C-37,Building
B038,School,1967,Strasse C-38,Building
B039,Office,1960,Strasse A-39,Building
B040,School,1900,Strasse B-40,Building
